filename,source,category,vistype,title location,attr: data-ink ratio,attr: # distinct colors,attr: black&white,attr: visual density,attr: human recognizable object,attr: human depiction,mem: at-a-glance HR (%),mem: at-a-glance FAR (%),mem: prolonged HR (%),data redundancy,message redundancy,illegible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v485_n7399_9_f2.png,Nature,S,Points,none,1,2,n,2,n,n,43.68,6.32,70.59,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v485_n7400_14_f1.png,Nature,S,Maps,none,3,3,n,3,y,n,45.24,5.32,81.25,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v485_n7400_14_f2.png,Nature,S,Points,none,3,2,n,3,n,n,24.68,5.26,64.29,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v485_n7400_15_f2.png,Nature,S,Bars,none,2,3,n,2,y,n,76.14,15.79,93.75,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v486_n7401_8_f1.png,Nature,S,Lines,none,3,3,n,3,n,n,50.55,12.26,76.47,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v486_n7401_8_f2.png,Nature,S,Maps,none,3,3,n,1,y,n,58.62,5.15,77.78,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v486_n7403_19_f2.png,Nature,S,Grid / Matrix,none,2,2,n,1,n,n,60.67,7.92,91.67,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v486_n7403_1_f8.png,Nature,S,Distribution,none,2,2,n,1,n,n,36.59,1.03,78.95,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v486_n7404_1_f2.png,Nature,S,Diagrams,none,1,2,n,1,y,n,63.41,0,100,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v486_n7404_20_f6.png,Nature,S,Points,none,2,1,n,2,n,n,34.38,8.65,76.47,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v486_n7404_6_f1.png,Nature,S,Grid / Matrix,none,1,2,n,1,n,n,82.8,12.12,93.75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v486_n7404_9_f2.png,Nature,S,Lines,none,3,3,n,2,n,n,36.56,10.68,47.06,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v487_n7405_21_f2.png,Nature,S,Lines,none,2,2,n,2,n,n,54.22,13.4,93.33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v487_n7405_22_f1.png,Nature,S,Diagrams,none,2,2,n,2,n,n,53.57,9.57,70.59,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v487_n7405_6_f4.png,Nature,S,Lines,none,1,2,n,2,n,n,42.17,19.59,75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v487_n7405_7_f1.png,Nature,S,Lines,none,3,3,n,2,n,n,39.36,7.92,60,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v487_n7406_13_f2.png,Nature,S,Points,none,2,3,n,3,y,n,47.87,5.56,88.89,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v487_n7406_13_f5.png,Nature,S,Diagrams,none,2,3,n,2,y,n,55.68,1.89,93.75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v487_n7407_15_f3.png,Nature,S,Table,none,2,1,n,2,n,n,52.44,3.26,76.47,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v487_n7407_22_f2.png,Nature,S,Diagrams,none,1,2,n,1,n,n,74.73,18.37,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v487_n7407_22_f4.png,Nature,S,Diagrams,none,1,2,n,1,n,n,66.67,9.71,93.33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v487_n7408_15_f3.png,Nature,S,Bars,none,3,1,y,1,n,n,58.51,15,57.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v488_n7410_13_f4.png,Nature,S,Diagrams,none,1,1,n,1,y,n,91.86,15.46,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v488_n7410_15_f3.png,Nature,S,Trees and Networks,none,2,3,n,2,n,n,33.33,5.1,66.67,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v488_n7411_6_f4.png,Nature,S,Lines,none,2,2,n,2,n,n,38.82,18.75,80,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v488_n7411_9_f1.png,Nature,S,Maps,none,3,3,n,1,y,n,71.91,0.98,93.75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v488_n7412_1_f3.png,Nature,S,Points,none,1,1,y,1,n,n,39.53,16.16,71.43,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v488_n7412_1_f4.png,Nature,S,Lines,none,1,1,y,1,n,n,36.26,6,80,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v488_n7412_4_f1.png,Nature,S,Diagrams,none,2,2,n,2,n,n,40.23,3,88.24,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v488_n7412_7_f1.png,Nature,S,Diagrams,none,2,3,n,1,n,n,57.95,16.16,82.35,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v488_n7412_8_f1.png,Nature,S,Maps,none,2,2,n,3,y,n,33.72,0,52.94,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v488_n7412_9_f1.png,Nature,S,Maps,Key (top-right),3,2,n,3,y,n,42.17,7.14,73.33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v488_n7413_3_f2.png,Nature,S,Lines,none,3,3,n,3,n,n,58.62,13.86,93.33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
